"Name","Value","Pattern","RefDes"
"CAP_1206","22pF","CAP_1206","C1"
"CAP_1206","22pF","CAP_1206","C2"
"CAP_1206","22pF","CAP_1206","C3"
"CAP_1206","22pF","CAP_1206","C4"
"CAP_1206","0.1uF","CAP_1206","C5"
"CAP_1206","0.1uF","CAP_1206","C6"
"CAP_1206","0.1uF","CAP_1206","C7"
"CAP_1206","0.1uF","CAP_1206","C8"
"CAP_1206","1uF","CAP_1206","C9"
"CAP_1206","0.1uF","CAP_1206","C10"
"CAP_1206","0.1uF","CAP_1206","C11"
"CAP_1206","0.1uF","CAP_1206","C12"
"CAP_1206","1uF","CAP_1206","C13"
"RES_1206","10k","RES_1206","R1"
"RES_1206","10k","RES_1206","R2"
"RES_1206","220k","RES_1206","R3"
"RES_1206","47k","RES_1206","R4"
"RES_1206","220","RES_1206","R5"
"RES_1206","220","RES_1206","R6"
"RES_1206","220","RES_1206","R7"
"RES_1206","4k7","RES_1206","R8"
"TESTPOINT","CLKOUT","TESTPOINT","TP1"
"ATMEGA88_PDIP","ATMEGA88","DIP-28","U1"
"SN74AHC125N","SN74AHC125N","DIP-14","U2"
"HDR-2X3","TARGET","HDR-2X3","U3"
"HDR-2X3","PROGRAMMER","HDR-2X3","U4"
"MicroUSB Socket","","MicroUSB Socket","U5"
"HDR-1x3","VSEL","HDR-1x3","U6"
"HDR-1x4","LEDs","HDR-1x4","U7"
"REG1117-3.3","AM1117-3.3","SOT223-4","U8"
"MCP2200","MCP2200","SOIC-20/300mil","U9"
"HC-49/US","18.432 MHz","HC-49/US","XTAL1"
"HC-49/US","12 MHz","HC-49/US","Y1"
